filename; file_start_time; match_name - output_feed; system_uptime_%
NJD @ NYI 2022-10-06_Home RSN_000000-1-20221006-160126-record;2022-10-06T23:07:49.135271Z;NJD @ NYI 2022-10-06 - Home RSN;99.94
NJD @ NYI 2022-10-06_Home RSN_000000-2-20221006-170418-record;2022-10-06T23:07:51.272649Z;NJD @ NYI 2022-10-06 - Home RSN;99.94
DET @ WSH 2022-10-05_Home RSN_000000-AWAY-20221005-145124-record;2022-10-05T23:08:05.723244Z;DET @ WSH 2022-10-05 - Home RSN;99.9
CHI @ MIN 2022-10-07_Home RSN_000000-AWAY-20221006-160747-record;2022-10-07T00:08:36.945383Z;CHI @ MIN 2022-10-07 - Home RSN;99.86
STL @ CBJ 2022-10-06_Home RSN_000000-Backup-20221006-155914-record;2022-10-07T00:03:48.490429Z;STL @ CBJ 2022-10-06 - Home RSN;97.98
DET @ WSH 2022-10-05_Home RSN_000000-HOME-20221005-161350-record;2022-10-05T23:08:15.562112Z;DET @ WSH 2022-10-05 - Home RSN;99.96
EDM @ WPG 2022-10-02_Home RSN_000000-Home-20221005-195137-record;2022-10-06T00:10:45.866061Z;EDM @ WPG 2022-10-02 - Home RSN;99.04
MIN @ COL 2022-09-28_Home RSN_000000-HOME-20221005-195548-record;2022-10-06T01:47:34.009782Z;MIN @ COL 2022-09-28 - Home RSN;99.38
CAR @ FLA 2022-09-29_Home RSN_000000-Home-20221006-133118-record;2022-10-06T23:07:46.166746Z;CAR @ FLA 2022-09-29 - Home RSN;96.84
STL @ CBJ 2022-10-06_Home RSN_000000-Home-20221006-155928-record;2022-10-07T00:03:44.609983Z;STL @ CBJ 2022-10-06 - Home RSN;97.71
CHI @ MIN 2022-10-07_Home RSN_000000-home-20221006-160125-record;2022-10-07T00:08:36.950425Z;CHI @ MIN 2022-10-07 - Home RSN;97.89
EDM @ WPG 2022-10-02_Home RSN_000000-Home_Backup-20221005-160508-record;2022-10-06T00:10:57.509935Z;EDM @ WPG 2022-10-02 - Home RSN;99.06
EDM @ WPG 2022-10-02_Home RSN_000000-Home_Backup_2-20221005-160531-record;2022-10-06T00:11:00.340281Z;EDM @ WPG 2022-10-02 - Home RSN;99.06
DET @ WSH 2022-10-05_Home RSN_000000-INT-20221005-151857-record;2022-10-05T23:08:22.868357Z;DET @ WSH 2022-10-05 - Home RSN;99.9
NJD @ NYR 2022-09-29_Home RSN_000000-INTERNATIONAL-20221005-144302-record;2022-10-05T23:03:05.114990Z;NJD @ NYR 2022-09-29 - Home RSN;99.28
MIN @ COL 2022-09-28_Home RSN_000000-NAT-20221005-195617-record;2022-10-06T01:47:32.087630Z;MIN @ COL 2022-09-28 - Home RSN;99.33
WSH @ PHI 2022-09-28_Home RSN_000000-r2-20221005-170548-record;2022-10-05T14:06:46.861211Z;WSH @ PHI 2022-09-28 - Home RSN;100.0
CAR @ FLA 2022-09-29_Home RSN_000000-Third-20221006-155449-record;2022-10-06T23:07:44.852872Z;CAR @ FLA 2022-09-29 - Home RSN;96.75
NJD @ NYR 2022-09-29_Home RSN_000000-TNT_National-20221005-144153-record;2022-10-05T23:03:09.065236Z;NJD @ NYR 2022-09-29 - Home RSN;99.28
DET @ WSH 2022-10-05_Home RSN_000001-HOME-20221005-204746-record;2022-10-06T00:56:58.265328Z;DET @ WSH 2022-10-05 - Home RSN;99.68
DET @ WSH 2022-10-05_Home RSN_000001-INTERNATIONAL-20221005-204813-record;2022-10-06T00:56:58.231383Z;DET @ WSH 2022-10-05 - Home RSN;99.68
